IMOEX,date
44.51,1999-01-01
62.44,1999-02-01
86.56,1999-03-01
96.6,1999-04-01
107.87,1999-05-01
131.64,1999-06-01
114.88,1999-07-01
100.72,1999-08-01
87.13,1999-09-01
106.86,1999-10-01
120.76,1999-11-01
151.87,1999-12-01
188.81,2000-01-01
191.49,2000-02-01
254.68,2000-03-01
242.85,2000-04-01
217.05,2000-05-01
194.93,2000-06-01
200.22,2000-07-01
239.03,2000-08-01
204.61,2000-09-01
192.22,2000-10-01
149.84,2000-11-01
144.39,2000-12-01
167.74,2001-01-01
158.1,2001-02-01
166.67,2001-03-01
177.31,2001-04-01
207.71,2001-05-01
219.4,2001-06-01
200.64,2001-07-01
193.72,2001-08-01
167.33,2001-09-01
187.41,2001-10-01
213.32,2001-11-01
236.24,2001-12-01
260.77,2002-01-01
262.65,2002-02-01
302.96,2002-03-01
343.33,2002-04-01
333.61,2002-05-01
304.18,2002-06-01
281.81,2002-07-01
292.23,2002-08-01
289.96,2002-09-01
311.41,2002-10-01
321.41,2002-11-01
318.91,2002-12-01
307.78,2003-01-01
341.52,2003-02-01
325.56,2003-03-01
369.77,2003-04-01
421.08,2003-05-01
455.44,2003-06-01
430.3,2003-07-01
484.0,2003-08-01
515.17,2003-09-01
468.85,2003-10-01
484.73,2003-11-01
514.71,2003-12-01
551.72,2004-01-01
591.09,2004-02-01
644.64,2004-03-01
561.78,2004-04-01
535.4,2004-05-01
534.84,2004-06-01
502.81,2004-07-01
549.28,2004-08-01
611.03,2004-09-01
632.97,2004-10-01
570.76,2004-11-01
552.22,2004-12-01
575.74,2005-01-01
635.38,2005-02-01
598.04,2005-03-01
593.88,2005-04-01
603.89,2005-05-01
639.98,2005-06-01
700.65,2005-07-01
784.28,2005-08-01
892.5,2005-09-01
842.52,2005-10-01
944.55,2005-11-01
1011.0,2005-12-01
1171.44,2006-01-01
1320.83,2006-02-01
1299.19,2006-03-01
1486.85,2006-04-01
1281.5,2006-05-01
1331.39,2006-06-01
1380.24,2006-07-01
1448.72,2006-08-01
1367.24,2006-09-01
1426.86,2006-10-01
1550.58,2006-11-01
1693.47,2006-12-01
1656.94,2007-01-01
1655.25,2007-02-01
1698.08,2007-03-01
1678.27,2007-04-01
1570.34,2007-05-01
1665.96,2007-06-01
1734.42,2007-07-01
1677.02,2007-08-01
1759.44,2007-09-01
1874.73,2007-10-01
1850.64,2007-11-01
1888.86,2007-12-01
1574.33,2008-01-01
1660.42,2008-02-01
1628.43,2008-03-01
1667.35,2008-04-01
1925.24,2008-05-01
1753.67,2008-06-01
1495.33,2008-07-01
1348.92,2008-08-01
1027.66,2008-09-01
731.96,2008-10-01
611.32,2008-11-01
619.53,2008-12-01
624.9,2009-01-01
666.05,2009-02-01
772.93,2009-03-01
920.35,2009-04-01
1123.38,2009-05-01
971.55,2009-06-01
1053.3,2009-07-01
1091.98,2009-08-01
1197.2,2009-09-01
1237.18,2009-10-01
1284.95,2009-11-01
1370.01,2009-12-01
1419.42,2010-01-01
1323.72,2010-02-01
1450.15,2010-03-01
1436.04,2010-04-01
1332.62,2010-05-01
1309.31,2010-06-01
1397.12,2010-07-01
1368.9,2010-08-01
1440.3,2010-09-01
1523.39,2010-10-01
1565.52,2010-11-01
1687.99,2010-12-01
1723.42,2011-01-01
1777.84,2011-02-01
1813.59,2011-03-01
1741.84,2011-04-01
1666.3,2011-05-01
1666.59,2011-06-01
1705.18,2011-07-01
1546.05,2011-08-01
1366.54,2011-09-01
1498.6,2011-10-01
1499.62,2011-11-01
1402.23,2011-12-01
1514.03,2012-01-01
1597.67,2012-02-01
1517.34,2012-03-01
1469.65,2012-04-01
1306.42,2012-05-01
1387.52,2012-06-01
1407.02,2012-07-01
1422.91,2012-08-01
1458.26,2012-09-01
1425.7,2012-10-01
1405.97,2012-11-01
1474.72,2012-12-01
1546.76,2013-01-01
1486.04,2013-02-01
1438.57,2013-03-01
1385.88,2013-04-01
1350.17,2013-05-01
1330.46,2013-06-01
1375.79,2013-07-01
1364.65,2013-08-01
1462.82,2013-09-01
1510.21,2013-10-01
1479.35,2013-11-01
1504.08,2013-12-01
1454.45,2014-01-01
1444.71,2014-02-01
1353.79,2014-03-01
1306.01,2014-04-01
1432.03,2014-05-01
1476.38,2014-06-01
1379.61,2014-07-01
1400.71,2014-08-01
1411.07,2014-09-01
1488.47,2014-10-01
1533.68,2014-11-01
1396.61,2014-12-01
1647.69,2015-01-01
1758.97,2015-02-01
1626.18,2015-03-01
1688.34,2015-04-01
1609.19,2015-05-01
1654.55,2015-06-01
1669.0,2015-07-01
1733.17,2015-08-01
1642.97,2015-09-01
1711.53,2015-10-01
1771.05,2015-11-01
1761.36,2015-12-01
1784.92,2016-01-01
1840.17,2016-02-01
1871.15,2016-03-01
1953.05,2016-04-01
1899.01,2016-05-01
1891.09,2016-06-01
1944.62,2016-07-01
1971.59,2016-08-01
1978.0,2016-09-01
1989.64,2016-10-01
2104.91,2016-11-01
2232.72,2016-12-01
2217.39,2017-01-01
2035.77,2017-02-01
1995.9,2017-03-01
2016.71,2017-04-01
1900.38,2017-05-01
1879.5,2017-06-01
1919.53,2017-07-01
2022.22,2017-08-01
2077.19,2017-09-01
2064.31,2017-10-01
2100.62,2017-11-01
2109.74,2017-12-01
2289.99,2018-01-01
2296.8,2018-02-01
2270.98,2018-03-01
2307.02,2018-04-01
2302.88,2018-05-01
2295.95,2018-06-01
2321.11,2018-07-01
2345.85,2018-08-01
2475.36,2018-09-01
2352.71,2018-10-01
2392.5,2018-11-01
2358.5,2018-12-01
2521.1,2019-01-01
2485.27,2019-02-01
2497.1,2019-03-01
2559.32,2019-04-01
2665.33,2019-05-01
2765.85,2019-06-01
2739.5,2019-07-01
2740.04,2019-08-01
2747.18,2019-09-01
2893.98,2019-10-01
2935.37,2019-11-01
3045.87,2019-12-01
3076.65,2020-01-01
2785.08,2020-02-01
2508.81,2020-03-01
2650.56,2020-04-01
2734.83,2020-05-01
2743.2,2020-06-01
2911.57,2020-07-01
2966.2,2020-08-01
2905.81,2020-09-01
2690.59,2020-10-01
3107.58,2020-11-01
3289.02,2020-12-01
3277.08,2021-01-01
3346.64,2021-02-01
3541.72,2021-03-01
3544.0,2021-04-01
3721.63,2021-05-01
3841.85,2021-06-01
3771.58,2021-07-01
3918.96,2021-08-01
4103.52,2021-09-01
4150.0,2021-10-01
3890.59,2021-11-01
3787.26,2021-12-01
3530.38,2022-01-01
2470.48,2022-02-01
2703.51,2022-03-01
2445.17,2022-04-01
2355.75,2022-05-01
2204.85,2022-06-01
2213.81,2022-07-01
2400.08,2022-08-01
1957.31,2022-09-01
2166.61,2022-10-01
2174.53,2022-11-01
2154.12,2022-12-01
2225.6,2023-01-01
2253.16,2023-02-01
2450.67,2023-03-01
2634.94,2023-04-01
2717.64,2023-05-01
2797.37,2023-06-01
3073.5,2023-07-01
3227.99,2023-08-01
3133.26,2023-09-01
3200.97,2023-10-01
3165.79,2023-11-01
3099.11,2023-12-01
3214.19,2024-01-01
3256.8,2024-02-01
3332.53,2024-03-01
3469.83,2024-04-01
3217.19,2024-05-01
3123.43,2024-06-01
2945.37,2024-07-01
2649.96,2024-08-01
2857.56,2024-09-01
2560.2,2024-10-01
2578.0,2024-11-01
2883.04,2024-12-01
2948.1,2025-01-01
