date,oil_prod_russia
1992-01-01,8191.0
1992-02-01,8164.0
1992-03-01,8110.0
1992-04-01,7994.0
1992-05-01,7900.0
1992-06-01,7756.0
1992-07-01,7588.0
1992-08-01,7515.0
1992-09-01,7379.0
1992-10-01,7181.0
1992-11-01,7132.0
1992-12-01,6992.0
1993-01-01,7084.0
1993-02-01,7057.0
1993-03-01,7047.0
1993-04-01,7031.0
1993-05-01,6938.0
1993-06-01,6881.0
1993-07-01,6646.0
1993-08-01,6557.0
1993-09-01,6542.0
1993-10-01,6497.0
1993-11-01,6427.0
1993-12-01,6356.0
1994-01-01,6786.111
1994-02-01,6226.159
1994-03-01,6205.032
1994-04-01,6195.125
1994-05-01,6370.064
1994-06-01,6464.564
1994-07-01,6442.886
1994-08-01,6406.663
1994-09-01,6378.744
1994-10-01,6372.17
1994-11-01,6323.275
1994-12-01,6403.639
1995-01-01,6246.104
1995-02-01,6362.548
1995-03-01,6079.92
1995-04-01,6213.881
1995-05-01,6262.972
1995-06-01,6093.467
1995-07-01,6144.45
1995-08-01,6219.944
1995-09-01,6182.782
1995-10-01,6118.817
1995-11-01,6057.933
1995-12-01,6024.513
1996-01-01,5971.119
1996-02-01,6037.223
1996-03-01,6016.672
1996-04-01,5966.264
1996-05-01,5997.543
1996-06-01,6039.94
1996-07-01,6064.367
1996-08-01,6074.956
1996-09-01,5978.289
1996-10-01,5941.023
1996-11-01,6026.58
1996-12-01,5983.246
1997-01-01,5889.87
1997-02-01,5980.364
1997-03-01,6009.642
1997-04-01,6081.88
1997-05-01,6084.238
1997-06-01,6088.027
1997-07-01,6138.0401
1997-08-01,6180.44
1997-09-01,6173.44
1997-10-01,6180.74
1997-11-01,6168.32
1997-12-01,6096.0101
1998-01-01,6047.0401
1998-02-01,6083.0801
1998-03-01,6047.0301
1998-04-01,5958.020100000001
1998-05-01,5905.0501
1998-06-01,6079.020100000001
1998-07-01,6050.0101
1998-08-01,6000.0
1998-09-01,5970.0101
1998-10-01,6052.0701
1998-11-01,6026.0
1998-12-01,6039.0
1999-01-01,5972.0501
1999-02-01,5987.0701
1999-03-01,6000.0301
1999-04-01,5996.0101
1999-05-01,6014.0301
1999-06-01,6054.060100000001
1999-07-01,6056.0401
1999-08-01,6095.0801
1999-09-01,6103.0101
1999-10-01,6083.0101
1999-11-01,6114.0801
1999-12-01,6145.0301
2000-01-01,6213.054
2000-02-01,6277.391
2000-03-01,6316.797
2000-04-01,6334.829
2000-05-01,6387.16
2000-06-01,6447.743
2000-07-01,6489.176
2000-08-01,6575.414
2000-09-01,6644.698
2000-10-01,6662.316
2000-11-01,6690.564
2000-12-01,6676.731
2001-01-01,6668.697
2001-02-01,6749.704
2001-03-01,6784.573
2001-04-01,6815.841
2001-05-01,6884.578
2001-06-01,7039.919
2001-07-01,7092.462
2001-08-01,7150.609
2001-09-01,7211.489
2001-10-01,7208.204
2001-11-01,7278.845
2001-12-01,7225.794
2002-01-01,7262.889
2002-02-01,7361.813
2002-03-01,7411.412
2002-04-01,7421.782
2002-05-01,7534.377
2002-06-01,7624.601
2002-07-01,7685.415
2002-08-01,7820.016
2002-09-01,7948.686
2002-10-01,8011.769
2002-11-01,8015.419
2002-12-01,7993.938
2003-01-01,8042.773
2003-02-01,8113.617
2003-03-01,8171.836
2003-04-01,8236.153
2003-05-01,8329.304
2003-06-01,8470.525
2003-07-01,8599.961
2003-08-01,8682.494
2003-09-01,8780.060099999999
2003-10-01,8798.862
2003-11-01,8823.698
2003-12-01,8854.943
2004-01-01,8899.428
2004-02-01,8937.839
2004-03-01,9001.556
2004-04-01,9064.085
2004-05-01,9133.627
2004-06-01,9303.991
2004-07-01,9353.904
2004-08-01,9425.0401
2004-09-01,9470.981
2004-10-01,9449.563
2004-11-01,9438.837
2004-12-01,9381.701
2005-01-01,9315.523
2005-02-01,9378.495
2005-03-01,9382.531
2005-04-01,9349.569
2005-05-01,9375.594
2005-06-01,9470.942
2005-07-01,9507.813
2005-08-01,9548.679
2005-09-01,9598.488
2005-10-01,9639.328
2005-11-01,9664.897
2005-12-01,9652.565
2006-01-01,9439.148
2006-02-01,9455.070099999999
2006-03-01,9547.916
2006-04-01,9594.97
2006-05-01,9621.216
2006-06-01,9660.94
2006-07-01,9677.964
2006-08-01,9488.803
2006-09-01,9526.557
2006-10-01,9583.384
2006-11-01,9609.63
2006-12-01,9651.955
2007-01-01,9848.21
2007-02-01,9877.175
2007-03-01,9886.042
2007-04-01,9795.323
2007-05-01,9815.106
2007-06-01,9868.623
2007-07-01,9895.050099999999
2007-08-01,9912.052
2007-09-01,9871.067
2007-10-01,9897.864
2007-11-01,9849.077
2007-12-01,9831.658
2008-01-01,9359.0
2008-02-01,9362.0
2008-03-01,9334.0
2008-04-01,9296.0
2008-05-01,9315.0
2008-06-01,9334.0
2008-07-01,9344.0
2008-08-01,9409.0
2008-09-01,9405.0801
2008-10-01,9430.0
2008-11-01,9359.0101
2008-12-01,9332.0801
2009-01-01,9343.0
2009-02-01,9331.0
2009-03-01,9388.0
2009-04-01,9459.0
2009-05-01,9428.070099999999
2009-06-01,9457.0101
2009-07-01,9476.0401
2009-08-01,9532.0
2009-09-01,9623.0
2009-10-01,9629.0101
2009-11-01,9654.0
2009-12-01,9614.0
2010-01-01,9614.070099999999
2010-02-01,9648.0401
2010-03-01,9682.070099999999
2010-04-01,9646.251
2010-05-01,9691.0
2010-06-01,9727.355
2010-07-01,9710.0
2010-08-01,9623.0
2010-09-01,9725.0
2010-10-01,9816.0
2010-11-01,9723.0
2010-12-01,9719.0
2011-01-01,9769.0
2011-02-01,9773.0
2011-03-01,9753.0
2011-04-01,9795.0
2011-05-01,9818.0
2011-06-01,9770.0
2011-07-01,9837.0
2011-08-01,9832.0
2011-09-01,9557.0
2011-10-01,9902.0
2011-11-01,9595.0
2011-12-01,9869.0
2012-01-01,9894.0
2012-02-01,9889.0
2012-03-01,9891.0
2012-04-01,9861.0
2012-05-01,9882.0
2012-06-01,9861.0
2012-07-01,9882.0
2012-08-01,9907.0
2012-09-01,9941.0
2012-10-01,9984.0
2012-11-01,10048.0
2012-12-01,10018.0
2013-01-01,9995.0
2013-02-01,9990.0
2013-03-01,9995.0
2013-04-01,10002.0
2013-05-01,10018.0
2013-06-01,9955.0
2013-07-01,10052.0
2013-08-01,10064.0
2013-09-01,10082.0
2013-10-01,10109.0
2013-11-01,10209.0
2013-12-01,10170.0
2014-01-01,10131.0
2014-02-01,10106.0
2014-03-01,10103.0
2014-04-01,10083.0
2014-05-01,10083.0
2014-06-01,10095.0
2014-07-01,10003.0
2014-08-01,10056.0
2014-09-01,10079.0
2014-10-01,10176.0
2014-11-01,10173.0
2014-12-01,10197.0
2015-01-01,10231.0
2015-02-01,10181.0
2015-03-01,10264.0
2015-04-01,10111.0
2015-05-01,10270.0
2015-06-01,10166.0
2015-07-01,10213.0
2015-08-01,10268.0
2015-09-01,10209.0
2015-10-01,10341.0
2015-11-01,10361.0
2015-12-01,10407.0
2016-01-01,10485.0
2016-02-01,10485.0
2016-03-01,10522.0
2016-04-01,10450.0
2016-05-01,10440.0
2016-06-01,10453.0
2016-07-01,10254.0
2016-08-01,10316.0
2016-09-01,10729.0
2016-10-01,10826.0
2016-11-01,10832.0
2016-12-01,10830.0
2017-01-01,10829.99527406061
2017-02-01,10551.47204799536
2017-03-01,10733.393437452016
2017-04-01,10712.536714333735
2017-05-01,10654.093792290723
2017-06-01,10602.7704546563
2017-07-01,10543.357695516534
2017-08-01,10542.62816347352
2017-09-01,10546.07688906492
2017-10-01,10506.92050196814
2017-11-01,10503.011956806857
2017-12-01,10527.349921322986
2018-01-01,10549.529082613
2018-02-01,10551.84546395
2018-03-01,10565.726018097
2018-04-01,10561.994023474
2018-05-01,10569.249147129
2018-06-01,10662.61049014
2018-07-01,10814.142082613
2018-08-01,10810.855405194
2018-09-01,10964.362156807
2018-10-01,11013.707243903998
2018-11-01,10971.887623474
2018-12-01,11050.830147129
2019-01-01,10972.775105194
2019-02-01,10930.570856807
2019-03-01,10899.122792291
2019-04-01,10835.476323473998
2019-05-01,10708.992050355
2019-06-01,10755.84809014
2019-07-01,10750.560243904
2019-08-01,10900.068598742
2019-09-01,10860.031823474
2019-10-01,10835.824695517
2019-11-01,10853.361523474
2019-12-01,10871.174211646
2020-01-01,10916.241889065
2020-02-01,10897.307822324
2020-03-01,10893.826276162
2020-04-01,10934.822256807
2020-05-01,8992.7080180972
2020-06-01,8925.449356806901
2020-07-01,8977.90614712939
2020-08-01,9467.5737922907
2020-09-01,9562.1087234735
2020-10-01,9593.5315664843
2020-11-01,9621.9703901402
2020-12-01,9654.7252439036
2021-01-01,9765.8811471294
2021-02-01,9708.973999664
2021-03-01,9858.9012116456
2021-04-01,10072.496623474
2021-05-01,10063.219050355
2021-06-01,10015.00499014
2021-07-01,10057.355050355
2021-08-01,10022.171050355
2021-09-01,10312.431956807
2021-10-01,10439.15346971
2021-11-01,10502.59659014
2021-12-01,10499.448631
2022-01-01,10598.285405194
2022-02-01,10651.402571092998
2022-03-01,10607.74346971
2022-04-01,9643.17852347349
2022-05-01,9788.178523473482
2022-06-01,10298.178523474
2022-07-01,10336.178523474
2022-08-01,10227.179999999998
2022-09-01,10360.17999999999
2022-10-01,10335.179999999998
2022-11-01,10485.179999999998
2022-12-01,10513.183333333334
2023-01-01,10521.578782288225
2023-02-01,10691.44385909314
2023-03-01,10362.95985755704
2023-04-01,10267.3576209979
2023-05-01,10227.74802960005
2023-06-01,10142.15584322012
2023-07-01,10113.76802960005
2023-08-01,10081.807856669497
2023-09-01,10178.122315998413
2023-10-01,10233.89479571468
2023-11-01,10257.403942552844
2023-12-01,10272.195554885597
2024-01-01,10252.2
2024-02-01,10174.5
2024-03-01,10151.29999999999
2024-04-01,10047.6
2024-05-01,9906.0301
2024-06-01,9764.0201
2024-07-01,9739.40111855758
2024-08-01,9679.39659432306
2024-09-01,9676.99153520681
2024-10-01,9730.167776355567
2024-11-01,9784.424421219925
2024-12-01,9804.764256395383
2025-01-01,9804.060099999999
2025-02-01,9794.070099999999
2025-03-01,9794.764256395403
2025-04-01,9852.993669511976
2025-05-01,9818.123082628548
2025-06-01,9783.25249574512
2025-07-01,9813.381908861682
2025-08-01,9803.081908861684
2025-09-01,9945.74857552834
2025-10-01,10073.94857552834
2025-11-01,10106.18190886169
2025-12-01,10026.548575528344
2026-01-01,10026.548575528344
2026-02-01,9976.54857552834
